id,nome,stock,peso_kg,preco_eur,imagem,sku
2731,Bolígrafo de caligrafía con 4 recambios para cuaderno mágico,23958,0.25,0.39,https://dropipro.com/storage/products/2731/WechatIMG2686_1777999894.jpg,
2720,Linterna led con zoom 3modo FA-556,2000,0.24,2.99,https://dropipro.com/storage/products/2720/LINTERNA_1777985004.JPG,
2719,Espuma dental para blanqueamiento,599,0.3,2.49,https://dropipro.com/storage/products/2719/imagen-479561_1777984568.png,
2718,Alfombrilla de tierra (grounding) 60 x 40 cm,104,0.82,7.99,https://dropipro.com/storage/products/2718/almohadilla_1777980740.jpg,
2717,Afeitadora corporal con cuchillas de seguridad,300,0.33,5.69,https://dropipro.com/storage/products/2717/AFEITA_1777972325.jpg,
2716,Enfriador de vino de acero inoxidable,500,0.34,2.99,https://dropipro.com/storage/products/2716/ENFRIA_1777972129.jpg,
2715,Máquina de palomitas vintage,59,1.16,15.99,https://dropipro.com/storage/products/2715/palomi_1777971530.jpg,
2714,Gafas de lectura con ajuste de enfoque,500,0.5,3.49,https://dropipro.com/storage/products/2714/GAFAS_1777916767.jpg,
2712,Abridor eléctrico automático de botes y tarros,187,0.61,8.49,https://dropipro.com/storage/products/2712/abridor_1777732032.jpg,
2710,Escritorio portátil con cojín para ordenador,148,1.47,10.99,https://dropipro.com/storage/products/2710/MESA_1777485184.jpg,
2709,Bidé portátil para inodoro,350,0.66,3.99,https://dropipro.com/storage/products/2709/BIDE_1777484836.jpg,
2708,Pelador automático de frutas y verduras,355,1.03,9.49,https://dropipro.com/storage/products/2708/PELADOR_1777484459.jpg,
2707,Sujetador ultrafino de seda helada blanco ( talla XL = XL/XXL ),200,0.25,2.69,https://dropipro.com/storage/products/2707/sujetado_1777483687.jpg,
2706,Sujetador ultrafino de seda helada blanco ( talla M = M/L ),200,0.25,2.69,https://dropipro.com/storage/products/2706/sujetado_1777483687.jpg,
2705,Sujetador ultrafino de seda helada beige ( talla XL = XL/XXL ),200,0.25,2.69,https://dropipro.com/storage/products/2705/sujetado_1777483687.jpg,
2704,Sujetador ultrafino de seda helada beige ( talla M = M/L ),200,0.25,2.69,https://dropipro.com/storage/products/2704/sujetado_1777483687.jpg,
2703,Batido detox con fibra natural que ayuda a acelerar el metabolismo y apoyar la pérdida de peso en solo 10 días,393,0.6,5.99,https://dropipro.com/storage/products/2703/DETOX_1777472162.jpg,
2702,Aspirador inalámbrico de 120W,392,1.02,10.49,https://dropipro.com/storage/products/2702/ASPI_1777471780.jpg,
2685,Cepillo alisador portátil ( 2Colores ),179,0.52,6.49,https://dropipro.com/storage/products/2685/CEPILLO_1777044506.jpg,
2681,Pestañas magnéticas reutilizables con aplicador,199,0.26,6.49,https://dropipro.com/storage/products/2681/pestana_1776786238.jpg,
2680,Parches antihongos para uñas (16 unidades),2672,0.22,1.69,https://dropipro.com/storage/products/2680/parche_1776768242.jpg,
2679,Parches antihongos para uñas (60 unidades),2554,0.22,1.99,https://dropipro.com/storage/products/2679/hongo_1776352192.jpg,
2678,Funda de almohada satén gris para modelo ( Almohada ergonómica antiestrés ),1497,0.26,1.59,https://dropipro.com/storage/products/2678/FUNDAGRIS_1764872974_1775834363.jpg,
2677,Funda de almohada satén gris para modelo ( Almohada de punto ergonómica 3D ),1485,0.26,1.59,https://dropipro.com/storage/products/2677/FUNDAGRIS_1764872974_1775834363.jpg,
