score,dropi_id,dropi_nome,dropi_preco,dropi_stock,ecomhub_id,ecomhub_nome,ecomhub_sku,ecomhub_preco,ecomhub_envio,ecomhub_stock,custo_ecomhub_total,diff_preco,mais_barato,margem_pct,score_oportunidade
0.685,24,Humidificador LED - Negro,2.99,134,2c8a92d4-0654-409f-9682-c0ea1086870a,Humidificador LED rosa,humidificador_14029,4.15,1.5,300,5.65,-2.66,dropi,47.1,46.26
0.683,173,Aspirador de coche portátil,4.19,3501,2c681c80-ce9f-4ee0-a864-b48d7de60597,Aspirador de mão portátil,aspijb-107_15109,7.64,1.5,100,9.14,-4.95,dropi,54.2,49.07
0.681,394,Cortador de Verduras Eléctrico 4 en 1,4.95,262,ac49faf9-d737-4264-a8df-1ab5c06e2eea,Cortador de Verduras Elétrico,cortadorverdu_14955,5.09,1.5,100,6.59,-1.64,dropi,24.9,42.35
0.664,127,Consola juego Retro,7.96,1010,6073f0c3-27d4-4b6a-a3d9-72776d8156ad,Consola de Jogos Retro,consol8270_15719,49.5,1.5,70,51.0,-43.04,dropi,84.4,56.7
0.647,408,Aspirador de coche portátil 3 en 1,4.99,6163,2c681c80-ce9f-4ee0-a864-b48d7de60597,Aspirador de mão portátil,aspijb-107_15109,7.64,1.5,100,9.14,-4.15,dropi,45.4,45.63
0.644,135,Estimulador de Gluteos,2.99,1592,689eb529-4e67-4575-b9cf-932302f4d70f,Estimulador Muscular de Glúteos EMS,estimulaculo_14082,3.71,1.5,200,5.21,-2.22,dropi,42.6,46.64
0.64,858,Ventilador portatil GO FAN,5.45,82,fc6ebb2f-2a99-429f-a6c3-5cce18822b5b,Ventilador mini Portatil,ventiladr_gl69291,5.09,1.5,80,6.59,-1.14,dropi,17.3,38.27
0.639,950,Luz led RGB con bateria,2.19,1099,281b815d-4a2f-4274-8370-b5a171733af2,Fita de Luz LED RGB 5,tiraled_g-1478,7.1,1.5,200,8.6,-6.41,dropi,74.5,54.79
0.638,2025,Ventilador de cuello portátil,3.99,308,fc6ebb2f-2a99-429f-a6c3-5cce18822b5b,Ventilador mini Portatil,ventiladr_gl69291,5.09,1.5,80,6.59,-2.6,dropi,39.5,41.1
0.624,2581,Organizador de almacenamiento bajo escritorio,3.29,300,56c7a720-637b-47ce-a1a7-9059f131d786,Organizador de Escritorio,organizad_14645,5.5,1.5,100,7.0,-3.71,dropi,53.0,43.61
0.621,262,Filtro de agua para grifo,4.45,591,3d77e38d-3f8d-4460-a31f-8dc9c50f202c,Filtro de água da torneira,filtrogrifo_13456,5.24,1.5,100,6.74,-2.29,dropi,34.0,40.62
0.617,306,Pistola aspersora de espuma 4in1,4.99,201,ae7985f5-2ffb-4d39-bb02-e37b1e40cf7b,Pistola de Espuma,pistolaespum4in1_15082,6.57,1.5,80,8.07,-3.08,dropi,38.2,40.99
0.593,516,Caja de Regalo de Rosa Preservada,6.99,1717,4d25ea95-0fda-4261-a016-618823c2a5d7,Rosa Preservada,rosapreser_15734,8.7,1.5,100,10.2,-3.21,dropi,31.5,41.05
0.591,832,Jarra dispensador de masa con tapa,4.49,760,57c715b3-9db1-4012-89cf-dc3fafb9bfe6,Jarra dispensador de massa,jarradispensador_14169,5.14,1.5,100,6.64,-2.15,dropi,32.4,38.83
0.587,38,Aspirador de coche portátil PRO,6.69,224,2c681c80-ce9f-4ee0-a864-b48d7de60597,Aspirador de mão portátil,aspijb-107_15109,7.64,1.5,100,9.14,-2.45,dropi,26.8,39.23
0.581,1111,Luz solar led cob magnetica 20W,3.69,1208,72441a63-1f73-4889-9013-1698819d7edb,Luz Solar 20W,luzsolar_v-7952,3.5,1.5,100,5.0,-1.31,dropi,26.2,36.65
