score,dropi_id,dropi_nome,dropi_preco,dropi_stock,ecomhub_id,ecomhub_nome,ecomhub_sku,ecomhub_preco,ecomhub_envio,ecomhub_stock,custo_ecomhub_total,diff_preco,mais_barato,margem_pct,score_oportunidade,tags,insight,stock_ratio
1.0,224,Cortador verduras 8in1,5.99,58,28ed2eea-448f-45d9-babd-6709eb4a2779,Cortador verduras 8in1,corta8en1_14571,7.13,1.5,400,8.629999999999999,-2.64,dropi,30.6,58.18,"dropi_baixo_ecom_alto,margem_dropi",Dropi com pouco stock (58) vs EcomHub (400) — possível demanda; considere EcomHub como reserva. Fornecedor mais barato no Dropi neste par.,6.9
0.685,24,Humidificador LED - Negro,2.99,134,2c8a92d4-0654-409f-9682-c0ea1086870a,Humidificador LED rosa,humidificador_14029,4.15,1.5,300,5.65,-2.66,dropi,47.1,46.26,"dropi_baixo_ecom_alto,margem_dropi",Dropi com pouco stock (134) vs EcomHub (300) — possível demanda; considere EcomHub como reserva. Fornecedor mais barato no Dropi neste par.,2.24
0.552,465,Lámpara de mesa de cristal,4.85,0,ec85f695-b06e-428b-9723-666f84ca19d6,Candeeiro de mesa LED de cristal,lamp_14646,9.17,1.5,200,10.67,-5.82,dropi,54.5,39.26,"dropi_critico,margem_dropi",Stock Dropi crítico (0) — risco de rutura se escalar campanhas. Fornecedor mais barato no Dropi neste par.,200.0
0.858,997,Depiladora de laser IPL PRO,14.95,2,1e4d83f3-e73d-442c-b873-fce46be0eab6,Depiladora Laser IPL,depilas_14671,24.98,1.5,100,26.48,-11.53,dropi,43.5,63.02,"dropi_critico,margem_dropi",Stock Dropi crítico (2) — risco de rutura se escalar campanhas. Fornecedor mais barato no Dropi neste par.,50.0
0.56,2452,Bandas elásticas de resistencia multifunción,1.99,11,b2481886-9ba1-438a-9109-7342bc2879fa,Bandas Elasticas,ligaselasticas_14352,4.07,1.5,200,5.57,-3.58,dropi,64.3,35.73,"dropi_critico,margem_dropi",Stock Dropi crítico (11) — risco de rutura se escalar campanhas. Fornecedor mais barato no Dropi neste par.,18.18
0.572,570,Mini Batidora Portatil,4.8,21,fc6ebb2f-2a99-429f-a6c3-5cce18822b5b,Ventilador mini Portatil,ventiladr_gl69291,5.09,1.5,80,6.59,-1.79,dropi,27.2,33.21,"dropi_critico,margem_dropi",Stock Dropi crítico (21) — risco de rutura se escalar campanhas. Fornecedor mais barato no Dropi neste par.,3.81
0.55,167,Blanqueador dental UV,2.49,293,1d5ad7e4-6ea1-47a0-94b9-6ebe24754fb2,Branqueador dental UV,blanqueadoruv_13439,3.51,1.5,300,5.01,-2.52,dropi,50.3,47.19,margem_dropi,Fornecedor mais barato no Dropi neste par.,1.02
0.64,858,Ventilador portatil GO FAN,5.45,82,fc6ebb2f-2a99-429f-a6c3-5cce18822b5b,Ventilador mini Portatil,ventiladr_gl69291,5.09,1.5,80,6.59,-1.14,dropi,17.3,38.27,margem_dropi,Fornecedor mais barato no Dropi neste par.,0.98
0.568,828,Mini teclado inalámbrico con ratón Touchpad retroiluminación LED,3.99,240,2be4a7cb-eac4-4d73-8bf3-f732b85251ea,Mini teclado sem fio com mouse Touchpad e retroiluminação LED,miniteclado_gl69440,5.6,1.5,200,7.1,-3.11,dropi,43.8,44.61,margem_dropi,Fornecedor mais barato no Dropi neste par.,0.83
0.576,1448,Tira de led para espejo,4.69,273,c44e769a-b9e3-4792-ab83-71aa3ec80f56,Tira LED RGB 3m,tiraled_g-1484,5.2,1.5,200,6.7,-2.01,dropi,30.0,42.84,margem_dropi,Fornecedor mais barato no Dropi neste par.,0.73
0.562,1699,Caja de joyería de rosa eterna,3.99,1036,95c770ef-4c73-41fd-94d6-6f948e2c17cd,Rosa Eterna,rosapeque_15634,6.1,1.5,600,7.6,-3.61,dropi,47.5,60.3,"margem_dropi,escalar_dropi,escalar_ecomhub",Fornecedor mais barato no Dropi neste par.,0.58
0.571,101,Pistola de Agua Presion,3.69,646,20f455f4-e9be-4af3-817a-22e47dd43f89,Pistola de água de alta pressão,hidropresion_14193,4.58,1.5,300,6.08,-2.39,dropi,39.3,48.34,"margem_dropi,escalar_dropi",Fornecedor mais barato no Dropi neste par.,0.46
0.587,38,Aspirador de coche portátil PRO,6.69,224,2c681c80-ce9f-4ee0-a864-b48d7de60597,Aspirador de mão portátil,aspijb-107_15109,7.64,1.5,100,9.14,-2.45,dropi,26.8,39.23,margem_dropi,Fornecedor mais barato no Dropi neste par.,0.45
0.551,989,Maquina de café  portatil eléctrico,8.95,243,105f7352-a150-43e1-84e1-8245b58f062c,Máquina de Costura Portátil,portacoser_14891,4.7,1.5,100,6.2,2.75,ecomhub,30.7,38.07,margem_ecomhub,Fornecedor mais barato no EcomHub neste par.,0.41
0.617,306,Pistola aspersora de espuma 4in1,4.99,201,ae7985f5-2ffb-4d39-bb02-e37b1e40cf7b,Pistola de Espuma,pistolaespum4in1_15082,6.57,1.5,80,8.07,-3.08,dropi,38.2,40.99,margem_dropi,Fornecedor mais barato no Dropi neste par.,0.4
0.681,394,Cortador de Verduras Eléctrico 4 en 1,4.95,262,ac49faf9-d737-4264-a8df-1ab5c06e2eea,Cortador de Verduras Elétrico,cortadorverdu_14955,5.09,1.5,100,6.59,-1.64,dropi,24.9,42.35,margem_dropi,Fornecedor mais barato no Dropi neste par.,0.38
0.978,307,Masajeador 4 en 1 anticelulítico,6.95,107,c6ca7292-4e12-466f-8b29-b91c1d762517,Masajeador 3 em 1 anticelulítico,celul4en1_14448,9.68,1.5,40,11.18,-4.23,dropi,37.8,59.37,margem_dropi,Fornecedor mais barato no Dropi neste par.,0.37
0.624,2581,Organizador de almacenamiento bajo escritorio,3.29,300,56c7a720-637b-47ce-a1a7-9059f131d786,Organizador de Escritorio,organizad_14645,5.5,1.5,100,7.0,-3.71,dropi,53.0,43.61,margem_dropi,Fornecedor mais barato no Dropi neste par.,0.33
0.638,2025,Ventilador de cuello portátil,3.99,308,fc6ebb2f-2a99-429f-a6c3-5cce18822b5b,Ventilador mini Portatil,ventiladr_gl69291,5.09,1.5,80,6.59,-2.6,dropi,39.5,41.1,margem_dropi,Fornecedor mais barato no Dropi neste par.,0.26
0.765,9,Bandas elásticas ejercicio,3.99,848,b2481886-9ba1-438a-9109-7342bc2879fa,Bandas Elasticas,ligaselasticas_14352,4.07,1.5,200,5.57,-1.58,dropi,28.4,51.41,"margem_dropi,escalar_dropi",Fornecedor mais barato no Dropi neste par.,0.24
0.976,1408,Depiladora de laser IPL,12.99,434,1e4d83f3-e73d-442c-b873-fce46be0eab6,Depiladora Laser IPL,depilas_14671,24.98,1.5,100,26.48,-13.49,dropi,50.9,73.78,margem_dropi,Fornecedor mais barato no Dropi neste par.,0.23
